student_id,first_name,last_name,sex,date_of_birth,grade,status,contract_rate,created,updated
82,Harper,Mitchell,F,2006-10-20,11,Inactive,80,2022-04-23 13:00:00,2025-10-10 00:00:00
83,Nora,Sanchez,F,2006-06-05,12,Inactive,80,2022-04-26 15:00:00,2024-11-14 00:00:00
84,Jack,Harris,M,2005-03-27,12,Inactive,80,2022-04-27 16:00:00,2022-12-02 00:00:00
85,Ellie,Nguyen,F,2006-04-17,12,Inactive,80,2022-05-01 17:00:00,2024-11-13 00:00:00
86,Liam,Thomas,M,2007-02-13,12,Inactive,80,2022-05-06 18:00:00,2023-10-25 00:00:00
87,Hannah,Flores,F,2005-03-04,11,Inactive,80,2022-05-11 16:00:00,2022-09-21 00:00:00
88,Asher,Moore,M,2005-11-27,12,Inactive,80,2022-05-12 15:00:00,2023-12-02 00:00:00
89,Jacob,Moore,M,2007-12-25,12,Inactive,80,2022-05-15 18:00:00,2024-12-02 00:00:00
90,Aurora,Lewis,F,2005-07-04,12,Inactive,80,2022-05-18 13:00:00,2022-11-12 00:00:00
91,Stella,Sanchez,F,2005-03-11,12,Inactive,80,2022-05-19 15:00:00,2023-11-26 00:00:00
92,Lucy,Flores,F,2006-12-13,10,Inactive,80,2022-05-23 13:00:00,2022-10-03 00:00:00
93,Sebastian,Smith,M,2006-02-07,12,Inactive,80,2022-05-24 14:00:00,2023-11-28 00:00:00
94,Grayson,Nguyen,M,2007-10-18,11,Inactive,80,2022-05-27 13:00:00,2025-11-23 00:00:00
95,Maya,Mitchell,F,2007-10-28,10,Inactive,80,2022-06-03 18:00:00,2023-11-14 00:00:00
96,Isaac,Wright,M,2007-02-06,9,Inactive,80,2022-06-05 18:00:00,2022-07-10 00:00:00
97,Kennedy,Anderson,F,2007-03-05,12,Inactive,80,2022-06-14 17:00:00,2024-02-29 00:00:00
98,Olivia,Roberts,F,2007-03-14,12,Inactive,80,2022-06-15 16:00:00,2023-10-15 00:00:00
99,Ezra,Smith,M,2010-06-14,9,Inactive,80,2022-06-16 17:00:00,2025-09-09 00:00:00
100,Liam,Gonzalez,M,2005-12-24,12,Inactive,80,2022-06-25 13:00:00,2023-10-26 00:00:00
101,Victoria,Johnson,F,2009-07-24,10,Inactive,80,2022-06-27 17:00:00,2025-11-21 00:00:00
102,Elizabeth,Davis,F,2009-05-09,12,Inactive,80,2022-06-28 18:00:00,2024-10-16 00:00:00
103,Aurora,Martinez,F,2007-02-11,9,Inactive,80,2022-06-29 15:00:00,2022-11-09 00:00:00
104,Amelia,Hill,F,2005-07-19,12,Inactive,80,2022-07-08 14:00:00,2023-11-12 00:00:00
105,Ellie,Davis,F,2007-12-19,12,Inactive,80,2022-07-09 17:00:00,2024-10-07 00:00:00
106,Joseph,Baker,M,2006-08-09,10,Inactive,80,2022-07-15 15:00:00,2022-11-25 00:00:00
107,Mateo,Moore,M,2006-09-11,12,Inactive,80,2022-07-16 15:00:00,2024-11-01 00:00:00
108,Luca,Lopez,M,2006-02-27,10,Inactive,80,2022-07-17 14:00:00,2022-11-27 00:00:00
109,Aria,Mitchell,F,2007-05-15,11,Inactive,80,2022-07-19 15:00:00,2023-09-25 00:00:00
110,Lily,Anderson,F,2005-03-24,12,Inactive,80,2022-07-20 13:00:00,2022-12-01 00:00:00
111,Skylar,Flores,F,2005-02-23,12,Inactive,80,2022-07-21 13:00:00,2023-01-25 00:00:00
112,Lincoln,Garcia,M,2006-09-13,12,Inactive,80,2022-07-25 14:00:00,2023-10-04 00:00:00
113,Samantha,Lopez,F,2010-09-10,11,Active,80,2022-08-02 17:00:00,2025-10-31 00:00:00
114,Carter,Harris,M,2010-06-18,9,Inactive,80,2022-08-04 13:00:00,2025-09-09 00:00:00
115,Harper,Rodriguez,F,2009-05-01,12,Inactive,80,2022-08-05 15:00:00,2025-10-09 00:00:00
116,Sofia,Harris,F,2005-12-06,12,Inactive,80,2022-08-06 16:00:00,2024-10-09 00:00:00
117,Riley,Perez,F,2005-07-22,12,Inactive,80,2022-08-07 15:00:00,2022-10-17 00:00:00
118,Ella,Allen,F,2007-04-17,11,Inactive,80,2022-08-08 15:00:00,2023-04-10 00:00:00
119,Ellie,Perez,F,2006-07-15,10,Inactive,80,2022-08-10 13:00:00,2022-12-21 00:00:00
120,Avery,Campbell,F,2006-02-28,12,Inactive,80,2022-08-13 14:00:00,2023-10-21 00:00:00
121,Aria,Brown,F,2005-02-21,12,Inactive,80,2022-08-14 18:00:00,2023-03-31 00:00:00
122,Leah,Martin,F,2005-05-25,12,Inactive,80,2022-08-16 16:00:00,2022-09-23 00:00:00
123,Leah,Davis,F,2006-12-04,12,Inactive,80,2022-08-21 13:00:00,2022-12-04 00:00:00
124,Joseph,Brown,M,2010-07-05,6,Inactive,80,2022-08-25 14:00:00,2023-01-05 00:00:00
125,Caroline,Hill,F,2005-02-14,11,Inactive,80,2022-09-01 14:00:00,2022-11-17 00:00:00
126,William,Ramirez,M,2005-01-03,11,Inactive,80,2022-09-02 13:00:00,2023-01-13 00:00:00
127,Mason,Young,M,2009-05-15,12,Active,80,2022-09-05 18:00:00,2025-11-09 00:00:00
128,Emilia,Carter,F,2007-08-21,9,Inactive,80,2022-09-08 13:00:00,2023-01-19 00:00:00
129,Avery,Thompson,F,2009-04-15,7,Inactive,80,2022-09-13 16:00:00,2023-01-24 00:00:00
130,Henry,Davis,M,2006-02-26,12,Inactive,80,2022-09-14 17:00:00,2023-11-15 00:00:00
131,Samantha,Moore,F,2005-10-01,12,Inactive,80,2022-09-16 14:00:00,2025-09-19 00:00:00
132,Leah,Wright,F,2007-10-18,12,Inactive,80,2022-09-17 17:00:00,2025-09-08 00:00:00
133,Savannah,Baker,F,2006-03-20,10,Inactive,80,2022-09-18 18:00:00,2022-09-25 00:00:00
134,Savannah,Jackson,F,2005-09-25,12,Inactive,80,2022-09-19 15:00:00,2023-10-03 00:00:00
135,Owen,Campbell,M,2005-03-19,11,Inactive,80,2022-09-21 18:00:00,2023-02-01 00:00:00
136,Grace,Flores,F,2007-05-14,12,Inactive,80,2022-09-22 13:00:00,2024-10-12 00:00:00
137,Leo,White,M,2010-11-25,6,Inactive,80,2022-09-23 16:00:00,2023-02-03 00:00:00
138,Emma,Robinson,F,2009-08-05,7,Inactive,80,2022-09-24 16:00:00,2023-02-04 00:00:00
139,Riley,Hill,F,2009-07-13,7,Inactive,80,2022-09-27 15:00:00,2023-02-07 00:00:00
140,Avery,Flores,F,2010-08-06,12,Inactive,80,2022-09-28 15:00:00,2025-11-03 00:00:00
141,Riley,Hall,F,2006-05-24,12,Inactive,80,2022-09-30 17:00:00,2022-11-20 00:00:00
142,Luke,Ramirez,M,2009-03-07,8,Active,80,2022-10-04 17:00:00,2025-09-27 00:00:00
143,Grace,Young,F,2009-12-10,12,Inactive,80,2022-10-05 14:00:00,2025-12-04 00:00:00
144,Oliver,Walker,M,2007-06-13,9,Inactive,80,2022-10-06 13:00:00,2023-02-16 00:00:00
145,Amelia,Garcia,F,2007-05-05,12,Inactive,80,2022-10-07 16:00:00,2025-09-16 00:00:00
146,Elizabeth,Moore,F,2009-04-17,7,Inactive,80,2022-10-08 14:00:00,2023-02-18 00:00:00
147,Julian,Brown,M,2005-06-28,11,Inactive,80,2022-10-09 17:00:00,2023-02-19 00:00:00
148,Grace,Williams,F,2005-04-10,11,Inactive,80,2022-10-10 17:00:00,2023-02-20 00:00:00
149,Bella,Lewis,F,2007-07-06,12,Inactive,80,2022-10-11 13:00:00,2024-10-26 00:00:00
150,Grayson,Baker,M,2005-05-10,11,Inactive,80,2022-10-13 14:00:00,2023-02-23 00:00:00
151,Olivia,Hernandez,F,2007-12-10,11,Inactive,80,2022-10-17 17:00:00,2024-11-09 00:00:00
152,Ellie,Carter,F,2010-12-01,6,Inactive,80,2022-10-18 18:00:00,2023-02-28 00:00:00
153,Sophia,Taylor,F,2006-04-09,10,Inactive,80,2022-10-19 15:00:00,2023-03-01 00:00:00
154,Anna,Hill,F,2010-09-16,7,Inactive,80,2022-10-22 18:00:00,2024-10-03 00:00:00
155,Emma,Jackson,F,2007-03-06,9,Inactive,80,2022-10-23 18:00:00,2023-03-05 00:00:00
156,Anna,Perez,F,2006-09-17,12,Inactive,80,2022-10-24 15:00:00,2025-03-22 00:00:00
157,Aubrey,Davis,F,2005-12-18,12,Inactive,80,2022-10-25 17:00:00,2024-10-17 00:00:00
158,Amelia,Perez,F,2007-08-21,12,Inactive,80,2022-10-27 13:00:00,2025-10-23 00:00:00
159,Isabella,Wilson,F,2007-01-15,12,Inactive,80,2022-10-30 13:00:00,2025-04-10 00:00:00
160,Ava,Martin,F,2007-12-20,12,Inactive,80,2022-10-31 17:00:00,2024-12-21 00:00:00
161,Savannah,Thompson,F,2006-03-08,12,Inactive,80,2022-11-01 15:00:00,2025-11-02 00:00:00
162,Aiden,Clark,M,2005-08-11,12,Inactive,80,2022-11-03 18:00:00,2024-09-23 00:00:00
163,Grayson,Nelson,M,2006-07-27,12,Inactive,80,2022-11-04 18:00:00,2024-11-22 00:00:00
164,Theodore,Lee,M,2005-05-04,11,Inactive,80,2022-11-05 14:00:00,2023-03-18 00:00:00
165,Benjamin,Walker,M,2005-11-02,12,Inactive,80,2022-11-06 14:00:00,2023-11-26 00:00:00
166,Matthew,Moore,M,2006-08-22,12,Inactive,80,2022-11-07 13:00:00,2024-10-03 00:00:00
167,Aurora,Smith,F,2009-05-02,9,Inactive,80,2022-11-08 15:00:00,2025-03-08 00:00:00
168,Caroline,Martinez,F,2009-05-08,7,Inactive,80,2022-11-09 18:00:00,2023-03-22 00:00:00
169,Hannah,Walker,F,2007-06-28,12,Inactive,80,2022-11-10 16:00:00,2024-09-13 00:00:00
170,Mia,Smith,F,2006-06-20,12,Inactive,80,2022-11-12 13:00:00,2024-09-29 00:00:00
171,Aubrey,Martinez,F,2007-07-17,12,Inactive,80,2022-11-15 18:00:00,2023-10-05 00:00:00
172,Samuel,Green,M,2007-12-17,9,Inactive,80,2022-11-16 18:00:00,2023-03-29 00:00:00
173,Nova,Williams,F,2006-05-09,12,Inactive,80,2022-11-17 14:00:00,2024-11-28 00:00:00
174,Willow,White,F,2006-09-04,12,Inactive,80,2022-11-18 16:00:00,2024-11-28 00:00:00
175,Bella,Martinez,F,2010-09-23,8,Active,80,2022-11-19 17:00:00,2025-11-11 00:00:00
176,Olivia,Smith,F,2010-09-10,10,Inactive,80,2022-11-20 13:00:00,2025-11-02 00:00:00
177,Aria,Miller,F,2005-09-06,12,Inactive,80,2022-11-21 14:00:00,2025-10-06 00:00:00
178,Genesis,Thomas,F,2007-04-13,12,Inactive,80,2022-11-26 15:00:00,2025-11-13 00:00:00
179,Lily,Martin,F,2010-08-27,6,Inactive,80,2022-11-27 13:00:00,2023-04-09 00:00:00
180,Leah,Moore,F,2005-07-08,11,Inactive,80,2022-11-28 17:00:00,2023-04-10 00:00:00
181,Liam,Roberts,M,2010-12-23,10,Inactive,80,2022-11-30 16:00:00,2025-10-03 00:00:00
182,Leah,Hill,F,2007-10-02,12,Inactive,80,2022-12-01 18:00:00,2024-10-05 00:00:00
183,Alexander,Walker,M,2006-12-25,10,Inactive,80,2022-12-04 13:00:00,2023-04-16 00:00:00
184,Victoria,Torres,F,2007-09-14,11,Active,80,2022-12-08 17:00:00,2025-09-17 00:00:00
185,Scarlet,Rodriguez,F,2010-06-20,7,Inactive,80,2022-12-09 16:00:00,2023-11-30 00:00:00
186,Nova,Mitchell,F,2009-09-20,11,Inactive,80,2022-12-10 18:00:00,2025-10-01 00:00:00
187,Ezra,Brown,M,2006-07-15,10,Inactive,80,2022-12-11 17:00:00,2023-02-05 00:00:00
188,Charles,Davis,M,2006-09-21,11,Inactive,80,2022-12-14 16:00:00,2024-10-03 00:00:00
189,Wyatt,Thompson,M,2005-07-09,12,Inactive,80,2022-12-27 15:00:00,2024-12-07 00:00:00
190,Gabriel,Rivera,M,2007-06-11,10,Inactive,80,2022-12-30 14:00:00,2024-10-06 00:00:00
191,Victoria,Campbell,F,2005-06-13,11,Inactive,80,2022-12-31 13:00:00,2023-05-13 00:00:00
192,Hannah,Martinez,F,2011-12-20,9,Inactive,100,2023-01-06 16:00:00,2025-11-03 00:00:00
193,Thomas,Moore,M,2006-04-05,12,Inactive,100,2023-01-08 18:00:00,2024-01-17 00:00:00
194,Genesis,Wright,F,2006-09-01,12,Inactive,100,2023-01-12 16:00:00,2023-11-18 00:00:00
195,Aria,Thomas,F,2006-07-17,11,Inactive,100,2023-01-16 16:00:00,2023-05-29 00:00:00
196,Henry,Anderson,M,2008-02-28,11,Inactive,100,2023-01-19 13:00:00,2024-11-17 00:00:00
197,Elijah,Torres,M,2007-08-16,12,Inactive,100,2023-01-26 16:00:00,2024-10-13 00:00:00
198,Grace,Baker,F,2011-01-05,8,Inactive,100,2023-01-30 15:00:00,2025-09-27 00:00:00
199,Hazel,Moore,F,2008-10-20,12,Inactive,100,2023-02-01 14:00:00,2025-10-20 00:00:00
200,Savannah,Rodriguez,F,2007-02-12,12,Inactive,100,2023-02-02 16:00:00,2024-09-30 00:00:00
201,Dylan,Lee,M,2006-09-18,11,Inactive,100,2023-02-14 13:00:00,2023-06-27 00:00:00
202,Abigail,White,F,2008-10-17,11,Inactive,100,2023-02-16 17:00:00,2024-11-30 00:00:00
203,Olivia,Brown,F,2008-11-18,11,Inactive,100,2023-02-17 13:00:00,2024-10-12 00:00:00
204,Ava,Wilson,F,2006-12-25,11,Inactive,100,2023-02-20 17:00:00,2023-06-12 00:00:00
205,Avery,Hall,F,2011-01-19,10,Inactive,100,2023-02-22 17:00:00,2025-09-25 00:00:00
206,Jackson,Flores,M,2008-02-10,9,Inactive,100,2023-03-01 16:00:00,2023-07-12 00:00:00
207,Michael,Green,M,2006-09-06,11,Inactive,100,2023-03-02 18:00:00,2023-07-13 00:00:00
208,Elias,Thompson,M,2008-06-12,9,Inactive,100,2023-03-05 16:00:00,2023-07-16 00:00:00
209,Caroline,Lewis,F,2008-09-15,12,Inactive,100,2023-03-08 13:00:00,2025-09-08 00:00:00
210,Claire,Brown,F,2007-11-13,12,Inactive,100,2023-03-09 16:00:00,2024-10-17 00:00:00
211,Ava,Hall,F,2006-08-11,11,Inactive,100,2023-03-10 14:00:00,2023-07-21 00:00:00
212,Matthew,Martinez,M,2008-03-24,12,Inactive,100,2023-03-15 14:00:00,2025-11-18 00:00:00
213,Savannah,Adams,F,2006-08-21,11,Inactive,100,2023-03-17 14:00:00,2023-07-28 00:00:00
214,Riley,Clark,F,2010-05-07,9,Inactive,100,2023-03-18 18:00:00,2025-09-13 00:00:00
215,Joseph,Green,M,2007-01-14,12,Inactive,100,2023-03-21 15:00:00,2024-09-13 00:00:00
216,Olivia,Carter,F,2008-08-24,9,Inactive,100,2023-03-22 18:00:00,2023-08-02 00:00:00
217,Anna,Adams,F,2008-12-14,11,Inactive,100,2023-03-23 16:00:00,2025-10-31 00:00:00
218,Samuel,Thomas,M,2011-07-26,8,Inactive,100,2023-03-25 13:00:00,2025-01-24 00:00:00
219,Violet,Sanchez,F,2011-05-09,8,Inactive,100,2023-03-27 13:00:00,2025-03-13 00:00:00
220,Anna,Robinson,F,2008-10-11,9,Inactive,100,2023-04-05 15:00:00,2023-08-16 00:00:00
221,John,Sanchez,M,2006-06-22,12,Inactive,100,2023-04-06 13:00:00,2023-10-10 00:00:00
222,Paisley,Green,F,2006-11-26,11,Inactive,100,2023-04-08 15:00:00,2023-08-19 00:00:00
223,Nova,Sanchez,F,2006-08-21,11,Inactive,100,2023-04-09 15:00:00,2023-08-20 00:00:00
224,Aria,Anderson,F,2010-09-24,8,Inactive,100,2023-04-11 15:00:00,2023-09-16 00:00:00
225,Penelope,Nelson,F,2008-08-18,12,Inactive,100,2023-04-13 15:00:00,2025-10-30 00:00:00
226,Elizabeth,Hall,F,2006-02-23,12,Inactive,100,2023-04-19 18:00:00,2023-09-11 00:00:00
227,Abigail,Martinez,F,2008-02-05,9,Inactive,100,2023-04-24 13:00:00,2023-09-04 00:00:00
228,Noah,King,M,2007-09-05,12,Inactive,100,2023-04-28 13:00:00,2024-09-12 00:00:00
229,Aurora,Gonzalez,F,2008-11-09,9,Inactive,100,2023-05-01 14:00:00,2023-09-11 00:00:00
230,Genesis,Rodriguez,F,2008-03-11,12,Active,100,2023-05-05 17:00:00,2025-10-12 00:00:00
231,Genesis,Nguyen,F,2007-02-23,12,Inactive,100,2023-05-07 13:00:00,2024-12-01 00:00:00
232,Brooklyn,Rivera,F,2011-10-26,8,Inactive,100,2023-05-09 15:00:00,2023-10-06 00:00:00
233,Kennedy,Wright,F,2006-09-14,12,Inactive,100,2023-05-10 17:00:00,2025-11-22 00:00:00
234,Mateo,Taylor,M,2007-09-01,12,Inactive,100,2023-05-13 17:00:00,2024-11-10 00:00:00
235,Lily,Adams,F,2006-12-21,12,Inactive,100,2023-05-17 14:00:00,2023-11-19 00:00:00
236,Hazel,Perez,F,2007-09-08,12,Inactive,100,2023-05-18 13:00:00,2023-09-25 00:00:00
237,Brooklyn,Carter,F,2010-08-23,10,Active,100,2023-05-21 17:00:00,2025-10-08 00:00:00
238,Gabriel,Martinez,M,2008-05-20,9,Inactive,100,2023-05-29 14:00:00,2023-10-09 00:00:00
239,Nora,Lewis,F,2008-06-16,12,Inactive,100,2023-05-30 15:00:00,2025-10-25 00:00:00
240,Chloe,Lee,F,2006-06-11,12,Inactive,100,2023-05-31 18:00:00,2023-09-19 00:00:00
241,Mateo,Nguyen,M,2006-01-04,11,Inactive,100,2023-06-03 15:00:00,2023-08-19 00:00:00
242,Lucy,Wright,F,2010-12-23,9,Inactive,100,2023-06-04 15:00:00,2025-10-27 00:00:00
243,Avery,Campbell,F,2010-07-01,12,Inactive,100,2023-06-13 17:00:00,2025-12-06 00:00:00
244,Hazel,Robinson,F,2006-03-16,12,Inactive,100,2023-06-18 17:00:00,2024-02-03 00:00:00
245,Levi,Lee,M,2006-09-19,12,Inactive,100,2023-06-21 18:00:00,2023-09-08 00:00:00
246,Elizabeth,Scott,F,2007-11-07,12,Inactive,100,2023-06-25 14:00:00,2024-10-21 00:00:00
247,Bella,Lewis,F,2007-12-05,12,Inactive,100,2023-06-28 18:00:00,2024-03-04 00:00:00
248,Daniel,Baker,M,2011-05-16,9,Inactive,100,2023-07-01 15:00:00,2025-09-15 00:00:00
249,Anna,Harris,F,2008-01-01,10,Inactive,100,2023-07-08 13:00:00,2023-11-30 00:00:00
250,Zoey,Rivera,F,2011-02-03,6,Inactive,100,2023-07-10 15:00:00,2023-11-20 00:00:00
251,Sofia,Hill,F,2007-05-18,10,Inactive,100,2023-07-11 13:00:00,2023-11-21 00:00:00
